order_id,customer_id,order_date,total_amount,status
1001,1,2025-07-10,250.00,completed
1002,201,2025-07-11,100.00,pending
1003,35,2025-07-11,45.00,completed
1004,210,2025-07-12,75.00,canceled
1005,202,2025-07-12,200.00,completed
1006,76,2025-07-12,150.00,pending
1007,215,2025-07-13,300.00,completed
1008,204,2025-07-13,220.00,completed
1009,12,2025-07-13,180.00,completed
1010,208,2025-07-14,90.00,pending
1011,3,2025-07-10,130.50,completed
1012,205,2025-07-11,210.75,pending
1013,56,2025-07-11,60.00,completed
1014,214,2025-07-12,95.25,canceled
1015,15,2025-07-12,175.00,completed
1016,213,2025-07-12,80.00,pending
1017,8,2025-07-13,140.00,completed
1018,207,2025-07-13,230.00,completed
1019,24,2025-07-13,190.00,completed
1020,211,2025-07-14,75.00,pending
1021,47,2025-07-10,200.00,completed
1022,203,2025-07-11,155.00,pending
1023,68,2025-07-11,50.00,completed
1024,209,2025-07-12,120.00,canceled
1025,34,2025-07-12,175.00,completed
1026,210,2025-07-12,85.00,pending
1027,2,2025-07-13,130.00,completed
1028,212,2025-07-13,210.00,completed
1029,18,2025-07-13,195.00,completed
1030,215,2025-07-14,95.00,pending
1031,9,2025-07-10,205.00,completed
1032,204,2025-07-11,180.00,pending
1033,60,2025-07-11,55.00,completed
1034,203,2025-07-12,115.00,canceled
1035,14,2025-07-12,170.00,completed
1036,209,2025-07-12,85.00,pending
1037,7,2025-07-13,135.00,completed
1038,211,2025-07-13,220.00,completed
1039,27,2025-07-13,185.00,completed
1040,213,2025-07-14,90.00,pending
1041,5,2025-07-10,210.00,completed
1042,215,2025-07-11,190.00,pending
1043,65,2025-07-11,60.00,completed
1044,212,2025-07-12,125.00,canceled
1045,11,2025-07-12,160.00,completed
1046,208,2025-07-12,90.00,pending
1047,3,2025-07-13,140.00,completed
1048,206,2025-07-13,215.00,completed
1049,25,2025-07-13,180.00,completed
1050,210,2025-07-14,100.00,pending
1051,4,2025-07-10,220.00,completed
1052,207,2025-07-11,200.00,pending
1053,58,2025-07-11,65.00,completed
1054,209,2025-07-12,130.00,canceled
1055,17,2025-07-12,175.00,completed
1056,213,2025-07-12,85.00,pending
1057,6,2025-07-13,150.00,completed
1058,211,2025-07-13,230.00,completed
1059,22,2025-07-13,190.00,completed
1060,214,2025-07-14,95.00,pending
1061,10,2025-07-10,215.00,completed
1062,205,2025-07-11,195.00,pending
1063,70,2025-07-11,70.00,completed
1064,208,2025-07-12,135.00,canceled
1065,13,2025-07-12,165.00,completed
1066,207,2025-07-12,90.00,pending
1067,9,2025-07-13,145.00,completed
1068,210,2025-07-13,225.00,completed
1069,26,2025-07-13,185.00,completed
1070,212,2025-07-14,100.00,pending
1071,1,2025-07-10,220.00,completed
1072,202,2025-07-11,200.00,pending
1073,55,2025-07-11,60.00,completed
1074,213,2025-07-12,130.00,canceled
1075,16,2025-07-12,170.00,completed
1076,210,2025-07-12,90.00,pending
1077,5,2025-07-13,150.00,completed
1078,214,2025-07-13,230.00,completed
1079,20,2025-07-13,190.00,completed
1080,215,2025-07-14,100.00,pending
1081,11,2025-07-10,210.00,completed
1082,203,2025-07-11,190.00,pending
1083,66,2025-07-11,65.00,completed
1084,209,2025-07-12,140.00,canceled
1085,12,2025-07-12,175.00,completed
1086,207,2025-07-12,95.00,pending
1087,7,2025-07-13,155.00,completed
1088,210,2025-07-13,235.00,completed
1089,23,2025-07-13,185.00,completed
1090,211,2025-07-14,105.00,pending
1091,6,2025-07-10,215.00,completed
1092,215,2025-07-11,200.00,pending
1093,69,2025-07-11,70.00,completed
1094,212,2025-07-12,145.00,canceled
1095,14,2025-07-12,160.00,completed
1096,208,2025-07-12,100.00,pending
1097,3,2025-07-13,155.00,completed
1098,206,2025-07-13,240.00,completed
1099,25,2025-07-13,185.00,completed
1100,209,2025-07-14,110.00,pending
1101,4,2025-07-10,225.00,completed
1102,204,2025-07-11,210.00,pending
1103,59,2025-07-11,65.00,completed
1104,213,2025-07-12,135.00,canceled
1105,15,2025-07-12,175.00,completed
1106,210,2025-07-12,95.00,pending
1107,8,2025-07-13,160.00,completed
1108,211,2025-07-13,235.00,completed
1109,24,2025-07-13,190.00,completed
1110,215,2025-07-14,105.00,pending
1111,2,2025-07-10,220.00,completed
1112,202,2025-07-11,205.00,pending
1113,67,2025-07-11,70.00,completed
1114,209,2025-07-12,150.00,canceled
1115,11,2025-07-12,165.00,completed
1116,207,2025-07-12,105.00,pending
1117,9,2025-07-13,160.00,completed
1118,210,2025-07-13,240.00,completed
1119,26,2025-07-13,190.00,completed
1120,212,2025-07-14,110.00,pending
1121,1,2025-07-10,225.00,completed
1122,205,2025-07-11,210.00,pending
1123,54,2025-07-11,65.00,completed
1124,213,2025-07-12,140.00,canceled
1125,16,2025-07-12,175.00,completed
1126,210,2025-07-12,100.00,pending
1127,5,2025-07-13,160.00,completed
1128,214,2025-07-13,240.00,completed
1129,20,2025-07-13,195.00,completed
1130,215,2025-07-14,110.00,pending
1131,11,2025-07-10,215.00,completed
1132,203,2025-07-11,200.00,pending
1133,65,2025-07-11,70.00,completed
1134,209,2025-07-12,155.00,canceled
1135,13,2025-07-12,170.00,completed
1136,207,2025-07-12,100.00,pending
1137,8,2025-07-13,165.00,completed
1138,210,2025-07-13,245.00,completed
1139,23,2025-07-13,190.00,completed
1140,211,2025-07-14,115.00,pending
1141,6,2025-07-10,220.00,completed
1142,215,2025-07-11,210.00,pending
1143,68,2025-07-11,75.00,completed
1144,212,2025-07-12,150.00,canceled
1145,14,2025-07-12,165.00,completed
1146,208,2025-07-12,105.00,pending
1147,3,2025-07-13,160.00,completed
1148,206,2025-07-13,245.00,completed
1149,27,2025-07-13,190.00,completed
1150,210,2025-07-14,115.00,pending
